Product,date,Sales,Price Discount (%),In-Store Promo,Catalogue Promo,Store End Promo,Google_Mobility,Covid_Flag,V_DAY,EASTER,CHRISTMAS,Sales_standardized,Google_Mobility_standardized,Year,Quarter,Month,Day,Week
SKU1,2017-02-05,27750,0.0,0,0,0,0.0,0,0,0,0,0.3508801528445185,-0.42047628698054745,2017,1,2,5,5
SKU1,2017-02-12,29023,0.0,1,0,1,0.0,0,1,0,0,0.3751304955000305,-0.42047628698054745,2017,1,2,12,6
SKU1,2017-02-19,45630,0.20481927710843376,0,0,0,0.0,0,0,0,0,0.6197708433469674,-0.42047628698054745,2017,1,2,19,7
SKU1,2017-02-26,26789,0.0,1,0,1,0.0,0,0,0,0,0.33182470919533547,-0.42047628698054745,2017,1,2,26,8
SKU1,2017-03-05,41999,0.20481927710843376,0,0,0,0.0,0,0,0,0,0.5749385420326021,-0.42047628698054745,2017,1,3,5,9
SKU1,2017-03-12,29731,0.0,0,0,0,0.0,0,0,0,0,0.3881614395616968,-0.42047628698054745,2017,1,3,12,10
SKU1,2017-03-19,27365,0.0,1,0,0,0.0,0,0,0,0,0.3433265169645001,-0.42047628698054745,2017,1,3,19,11
SKU1,2017-03-26,27722,0.0,1,0,1,0.0,0,0,0,0,0.3503343416860891,-0.42047628698054745,2017,1,3,26,12
SKU1,2017-04-02,44339,0.20481927710843376,1,0,0,0.0,0,0,0,0,0.6042531441928936,-0.42047628698054745,2017,2,4,2,13
SKU1,2017-04-09,54655,0.20481927710843376,1,0,0,0.0,0,0,1,0,0.7173490672460645,-0.42047628698054745,2017,2,4,9,14
SKU1,2017-04-16,108159,0.5301204819277109,0,0,0,0.0,0,0,0,0,1.0863946085171057,-0.42047628698054745,2017,2,4,16,15
SKU1,2017-04-23,30361,0.0,1,0,1,0.0,0,0,0,0,0.3994984663277733,-0.42047628698054745,2017,2,4,23,16
SKU1,2017-04-30,42154,0.20481927710843376,1,0,1,0.0,0,0,0,0,0.5769302519640406,-0.42047628698054745,2017,2,4,30,17
